Month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
January,13.0,7.7,5.3,5.4,9.1,29.0,74.2,147.7,176.3,139.4,138.5,151.0,162.5,162.6,171.3,192.2,207.9,207.0,157.2,108.6,75.1,56.0,40.9,23.8
February,13.7,7.8,5.4,5.6,9.2,28.2,71.4,141.2,169.4,139.2,143.1,154.2,163.3,162.6,168.2,185.5,202.3,203.2,156.9,110.0,75.8,56.6,41.9,24.7
March 4 ,9.4,5.4,3.9,4.2,7.2,22.9,57.5,109.9,124.9,103.1,105.6,114.3,120.4,120.1,125.0,136.9,148.4,146.7,111.0,77.5,53.3,38.8,27.0,15.6
April 4 ,3.4,2.3,1.8,2.1,3.8,13.1,28.4,45.2,44.4,40.4,46.3,53.7,58.0,60.2,61.2,61.9,65.9,61.2,47.6,35.1,25.1,16.7,10.7,5.7
May,5.4,3.3,2.5,2.6,4.4,14.9,33.0,52.8,54.5,56.2,69.0,79.8,85.8,88.7,90.6,91.3,94.4,87.0,68.5,51.9,38.6,26.3,17.1,9.3
June,8.1,4.8,3.4,3.4,5.8,19.2,44.4,75.8,82.7,80.4,93.2,104.8,112.5,116.2,119.9,124.7,131.4,124.4,95.8,71.3,53.3,38.1,26.0,14.6
July,10.2,6.0,4.2,4.2,6.7,21.4,49.6,85.6,97.5,100.1,117.4,129.4,135.3,137.3,140.4,144.7,154.2,150.4,117.2,87.3,64.9,46.6,32.3,18.9
August,12.3,7.1,4.9,4.8,7.1,21.3,48.8,84.5,99.5,109.3,133.2,147.6,152.0,150.5,150.8,153.5,163.5,160.9,128.5,97.6,73.0,52.6,36.1,21.2
September,9.7,5.7,4.1,4.2,7.2,23.1,55.4,110.4,135.1,117.9,127.9,139.2,144.1,142.9,151.6,164.6,171.6,169.9,131.3,95.6,66.4,45.5,31.1,17.2
October,8.0,4.8,3.5,3.7,6.7,22.6,52.9,101.3,124.3,110.6,121.0,132.5,138.3,138.1,145.5,156.3,162.0,158.0,119.0,82.6,56.8,41.5,30.2,15.1
November,7.1,4.2,3.2,3.4,6.4,21.8,51.1,99.2,120.8,93.0,96.4,106.6,113.9,116.4,126.1,140.2,141.1,130.7,93.0,63.4,44.5,31.2,21.7,11.7
December 5 ,8.8,5.1,3.8,3.8,6.5,20.7,46.3,87.8,112.2,102.8,115.7,130.3,138.1,139.7,144.5,151.7,147.3,135.4,103.2,74.9,54.3,38.7,26.9,15.4
Year,109.1,64.2,46.0,47.4,80.1,258.2,613.0,1141.4,1341.6,1192.4,1307.3,1443.4,1524.2,1535.3,1595.1,1703.5,1790.0,1734.8,1329.2,955.8,681.1,488.6,341.9,193.2
Year Percentage,0.5,0.3,0.2,0.2,0.4,1.2,2.8,5.3,6.2,5.5,6.1,6.7,7.1,7.1,7.4,7.9,8.3,8.1,6.2,4.4,3.2,2.3,1.6,0.9